name,productUrl,imageUrl,originalPrice,DiscountedPrice,Discount,ratingScore,review,description,categories,itemId,itemSoldCntShow,sellerName,sellerId,brandId,brandName,location
MommyJ Baby Step 2 Duo-Grain For 6+ months - 900G,,https://sg-live-01.slatic.net/p/1adea8aea7863c8abe4cdc8f67f13378.jpg,,12,,5.0,16,"After Baby has consumed STEP 1 & comfortable with it, it is time for Baby to be introduced to STEP 2 - which is formulated specially for baby's digestion system for more nutrients absorption. Soft cooked to a semi-liquid consistency with its light & fluffy texture which easily to digest by the little one. STEP 2 contains Pearl Rice and Hulled Millet.","[8706, 10100747, 8718, 8720]",1085412956,651 sold,RedMart,1000008313,153285,MommyJ,Singapore
Frisolac Gold Stage 2 with 2'-FL 900G - Follow-On Milk Formula Powder - For Infant / Newborn / Baby 6-12 months old,,https://sg-live-01.slatic.net/p/47874215a35e211b50a37f041b600a07.jpg,,62.57,,5.0,68,"• Follow-on formula for infants from 6 to 12 months. • With NOVAS Signature Milk from our own farms in the Netherlands. • High quality milk through our dairy science expertise. • LockNutri is an advanced process technology that locks in milk protein structure in its natural form. • Contains 2'-FL, GOS, DHA, AA, Nucleotides. Important notice: Breast milk is the best for babies. The World Health Organisation recommends exclusive breastfeeding for the first six months of life. Unnecessary introduction of bottle feeding or other food and drinks will have a negative impact on breastfeeding. After six months of age, infants should receive age-appropriate foods while breastfeeding continues for up to two years of age or beyond. Consult your doctor before deciding to use infant formula or if you have difficulty breastfeeding.","[8706, 10100747, 8708, 8711]",783678273,2k+ sold,RedMart,1000008313,30438,Frisolac,Singapore
Frisolac Gold Stage 2 with 2'-FL 400G - Follow-On Milk Formula Powder - For Infant / Newborn / Baby 6-12 months old,,https://sg-live-01.slatic.net/p/e94e1c7adeaf2af1a68f8b0387358435.jpg,,29.77,,5.0,14,"• Follow-on formula for infants from 6 to 12 months. • With NOVAS Signature Milk from our own farms in the Netherlands. • High quality milk through our dairy science expertise. • LockNutri is an advanced process technology that locks in milk protein structure in its natural form. • Contains 2'-FL, GOS, DHA, AA, Nucleotides. Important notice: Breast milk is the best for babies. The World Health Organisation recommends exclusive breastfeeding for the first six months of life. Unnecessary introduction of bottle feeding or other food and drinks will have a negative impact on breastfeeding. After six months of age, infants should receive age-appropriate foods while breastfeeding continues for up to two years of age or beyond. Consult your doctor before deciding to use infant formula or if you have difficulty breastfeeding.","[8706, 10100747, 8708, 8711]",783650499,766 sold,RedMart,1000008313,30438,Frisolac,Singapore
Enfamil Nutramigen LGG Stage 1 400G,,https://sg-live-01.slatic.net/p/2391a90425a1758c857a0cc92e0e01e8.jpg,,50.36,,5.0,16,"'* Important Notice: Breast milk is the best for babies. The World Health recommends exclusive breastfeeding for the first six months of life. Unnecessary introduction of bottle feeding or other food and drinks will have a negative impact on breastfeeding. After six months of age, infants should receive age breastfeeding continues for up to two years of age or beyond. Consult appropriate foods while your doctor before deciding to use infant formula or if you have difficulty breastfeeding. With over 100 years experience in paediatric nutrition, Mead Johnson Nutrition has designed Nutramigen 1 with Lactobacillus rhamnosus GG (LGG®). Nutramigen 1 with LGG® is with extensively hydrolysed protein, lactose-free (Not suitable for infants with galactosaemia) and contains 17mgΔ DHA & 34mgΔ ARA. This formula may be recommended by your doctor.","[8706, 10100747, 8708, 8710]",401966528,1k+ sold,RedMart,1000008313,52732,Enfamil,Singapore
Rudolfs Baby Organic Peach Banana Oat Porridge 4+ Months,,https://sg-live-01.slatic.net/p/94ac4712f92550aec853443d41148617.jpg,,4.19,,5.0,18,Organic whole grain oat porridge with peach and banana for babies from 4 months. With no added sugar (contains only naturally occurring fruit sugars). Dairy Free. Gluten Free.,"[8706, 10100747, 8718, 8720]",332400704,1k+ sold,RedMart,1000008313,170836,Rudolfs,Singapore
Rudolfs Baby Organic Pear Blueberry Oat Porridge 4+ Months,,https://sg-live-01.slatic.net/p/4e9201955bd5df343a2fb41c43ba37cf.jpg,,4.19,,5.0,16,Organic whole grain oat porridge with pear and blueberries for babies from 4 months. With no added sugar (contains only naturally occurring fruit sugars). Dairy Free.,"[8706, 10100747, 8718, 8720]",332388931,1k+ sold,RedMart,1000008313,170836,Rudolfs,Singapore
Hipp Organic Combiotic Follow-on Milk 2 Baby Formula,,https://sg-live-01.slatic.net/p/60aadb7dbfa8821c868d64149e4bc8ac.jpg,,60.11,,5.0,49,Tailored to Baby's Special Nutritional Needs From 6 Months and Support their Healthy Development. Contains Prebiotics & Probiotics that Plays an Important Role in the Baby's Digestive and Immune System.,"[8706, 10100747, 8708, 8711]",329364622,5k+ sold,RedMart,1000008313,95277,Hipp,Singapore
BebeCook Brewed Korean Golden Pear Drink With Bellflower Root And Jujube 120Ml,,https://sg-test-11.slatic.net/p/7bd045d591f1716a858005a8febfbf80.jpg,,3.1,,5.0,3,"The tasty BeBecook Brewed Korean Golden Pear Drink w Bellflower Root is made tastier with the addition of sweet Jujube! Now in a bigger 120ml pouch, the smooth tea will have your little one's taste buds enjoy every sip of it. Bring the slim and portable pouch out and around with ease. No artificial flavouring, colouring and seasoning added. Safe and clean production under HACCP system. Made in South Korea. Suitable from 12 months. Net Volume: 120ml. May contain natural sediment.","[8706, 10100747, 8718, 8719]",319468441,890 sold,RedMart,1000008313,110406,BebeCook,Singapore
Wakodo Lebens 1 Premium Infant Formula Stage 1 (0-12 months),,https://sg-live-01.slatic.net/p/eddfd53100210580f4e9298c14de6f01.jpg,,63.48,,5.0,10,Breast Milk is the best food for infant baby. WAKODO 'LEBENS Premium Infant Formula' is the infant formula designed based on the study of breast milk for a long time and knowledge of recent nursling's nutrition. Feed it safely at the time of lacking breast milk or unfeedable situation. Consult with doctor or specialist like nutritionist in accordance with baby's constitution and health condition.,"[8706, 10100747, 8708, 8710]",305110201,1k+ sold,RedMart,1000008313,63774,Wakodo,Singapore
Wakodo Japanese Pilaf with Chicken Burdock & Vegetables,,https://sg-live-01.slatic.net/p/27c0e19677902cf586d9fc96134216b1.jpg,,5.9,,5.0,11,Taking advantage of the umami of vegetables and chicken with a little soy sauce.,"[8706, 10100747, 8718, 8720]",305094161,1k+ sold,RedMart,1000008313,63774,Wakodo,Singapore
