NAME,productUrl,imageUrl,originalPrice,DiscountedPrice,Discount,ratingScore,review,description,categories,itemId,page
Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB - Độc quyền Online,,https://vn-live-01.slatic.net/p/8041a19433bc433f31a2fb6b7adad62e.jpg,,31990000,,4.894736842105263,19,[],"[4402, 4518]",2157744431,16
iPhone 15 Pro - Hàng Chính Hãng VN/A,,https://filebroker-cdn.lazada.vn/kf/S31d1f244f89d4d46955a2ce6b8443a2dB.png,28999000,28490000,2% Off,4.995555555555556,225,[],"[4402, 4518]",2417249565,16
SAMSUNG A51 6G/128G MK VẼ KO CÀI VÂN TAY SIÊU RẺ -SIÊU ĐẸP - SIÊU MƯỢT - SIÊU BỀN.,,https://vn-live-01.slatic.net/p/58aedc62f461b695ee90bd6591e34eef.jpg,,1800000,,5.0,6,[],"[4402, 4518]",2182261037,16
Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/0fda6a1b39f9695771ff6ce6dc86a067.jpg,4990000,4239000,15% Off,5.0,1,[],"[4402, 4518]",2396758589,16
"Điện thoại Xiaomi Redmi Note 10T 5G (4GB/64GB) ,Màn 90HZ,Chống Nước IP68, Sạc Nhanh 18W , Mới Nguyên Seal - Hàng Nhập Khẩu - Bản quốc tế",,https://ph-live-01.slatic.net/p/bbf1f9981e81a85eccb6b7371fc6912a.jpg,3950000,2623000,34% Off,4.863157894736842,95,[],"[4402, 4518]",2064097831,16
"Điện Thoại Xiaomi Redmi Note 12 (4GB/128GB) Chính Hãng - Chip Snapdragon 685, Màn hình 120Hz, Sạc nhanh 33W",,https://vn-live-01.slatic.net/p/6df446a1c3ea593d50a2b14224123647.jpg,4990000,4060000,19% Off,5.0,13,[],"[4402, 4518]",1960785792,16
"Điện thoại Xiaomi Redmi Note 10 JE 4GB/64GB, Chip Snap 480,Màn 90HZ,Chống Nước IP68, Sạc Nhanh 18W , Mới 100% - Hàng Nhập Khẩu - Bản quốc tế",,https://vn-live-01.slatic.net/p/a95bc9cf27e4dd5ecdaa227fd03e7474.jpg,3599000,2599000,28% Off,4.887295081967213,488,[],"[4402, 4518]",1911885355,16
SAMSUNG J8  3G/32G GIÁ MỀM -SIÊU ĐẸP CHƠI GAME LƯỚT MẠNG BAO MƯỢT.,,https://vn-live-01.slatic.net/p/f3fdb8b2bfede3a4d500990186f7bb9a.jpg,,850000,,4.5,8,[],"[4402, 4518]",2164156505,16
SAMSUNG A30 3G/32G MÁY SIÊU MẠNH CÒN MỚI ĐEP KHÔNG TRẦY XƯỚC,,https://ph-live-01.slatic.net/p/c9ac5f0332a6637ab8fd933b9288b8e8.jpg,,999000,,4.72972972972973,74,[],"[4402, 4518]",2142336136,16
SAMSUNG A600 3G/32G CHÍNH HÃNG ĐẸP KEENG .,,https://vn-live-01.slatic.net/p/1568d64e405ba07f18180089ce2ee241.jpg,,790000,,4.625,8,[],"[4402, 4518]",2188666374,16
Điện thoại thông minh 5.0 Inch,,https://sg-test-11.slatic.net/other/common/cb0de9e624be4bbcaa8eeeea72282209.jpeg,,50000,,0,,[],"[4402, 4518]",2410909626,16
Điện thoại Samsung Galaxy Z Flip4 5G 256GB và 128GB,,https://vn-live-01.slatic.net/p/e731b55d15a74bac6f4045a6e67bb6f4.jpg,23990000,11995000,50% Off,5.0,1,[],"[4402, 4518]",2186361924,16
Điện thoại Samsung Galaxy A04 (3G+32G) SM-A045F Xanh,,https://ph-live-01.slatic.net/p/b63d7d0a1f0ea5838e8a1f2b9d93683b.jpg,3490000,2030000,42% Off,5.0,2,[],"[4402, 4518]",2099354118,16
SAMSUNG J8  3G/32G. MÁY SIÊU MẠNH CÒN MỚI ĐEP KHÔNG TRẦY XƯỚC,,https://vn-live-01.slatic.net/p/f3fdb8b2bfede3a4d500990186f7bb9a.jpg,,850000,,4.814516129032258,124,[],"[4402, 4518]",2142283720,16
Điện thoại di động Samsung Galaxy S20 FE 256GB - Chính hãng,,https://vn-live-01.slatic.net/p/e0a4f733aad024d3abafc74e90e0e04f.jpg,13900000,7270000,48% Off,5.0,55,[],"[4402, 4518]",2306767102,16
"Điện Thoại ĨP 6 PIus bản Q-Tế lắp sim,cài đầy đủ game và ứng dụng.Bảo hành 12 Tháng",,https://ph-live-01.slatic.net/p/4765cb2bf7133bbf07d03198ded85196.jpg,1300000,895000,31% Off,4.0,7,[],"[4402, 4518]",2415113798,16
"Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng - 3 camera chính sắc nét, pin lớn 5000 mAh",,https://vn-live-01.slatic.net/p/19e8f19b25aea9e317af7441da26123c.jpg,10490000,7559000,28% Off,5.0,7,[],"[4402, 4518]",2223343983,16
"Điện thoại Cảm ứng Cao Cấp Giá rẻ điện thoại Vivo Y35 2022 máy 2sim ram 8G/128G Chính Hãng, cảm ứng mượt, Camera siêu đẹp, máy nghe gọi tốt, Full Zalo Facebook Youtube, cày game mượt, Bảo hành 12 tháng - TTN 01",,https://vn-live-01.slatic.net/p/71c8e1659b6d430ec7d8a6a88ded1c77.jpg,1088000,649000,40% Off,4.934959349593496,123,[],"[4402, 4518]",2338645024,16
Điện Thoại Redmi Note 12S 8GB/256GB - Chính hãng,,https://vn-live-01.slatic.net/p/91ef5f71ede66d4c58f853f43cbc5248.png,6690000,4990000,25% Off,5.0,10,[],"[4402, 4518]",2293160766,16
"điện thoại giá rẻ Phone-6S Plus 32G Chính Hãng bản Quốc Tế, màn hình 5.5.inch, cày game nặng chất - TNN 03",,https://vn-live-01.slatic.net/p/d9a02aca23bd9d32250e09bafa3b99e0.jpg,,780000,,0,,[],"[4402, 4518]",2491479727,16
"Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng - Màn hình sống động, sắc nét, camera đỉnh cao",,https://vn-live-01.slatic.net/p/71dbba488dd9fa01af4f65dd5b88945d.jpg,8490000,5849000,31% Off,5.0,20,[],"[4402, 4518]",2223610862,16
oppo neo 5 ( a31 ) ram 1gb bộ nhớ 8gb-16gb giá rẻ,,https://filebroker-cdn.lazada.vn/kf/Sdd1f01884788440e823b25176f253b28p.jpg,,280000,,4.269230769230769,26,[],"[4402, 4518]",1452697362,16
Điện Thoại Xiaomi Redmi Note 12 8GB/128GB - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/83f75a03b9398844c2c715459d80868c.jpg,5790000,4449000,23% Off,5.0,1,[],"[4402, 4518]",2418596100,16
Samsung  A20  Ram 3G/32G  máy đẹp keeng CẤU HÌNH siêu mượt.,,https://filebroker-cdn.lazada.vn/kf/S9f813c03230d4862962c2c0971db0929z.jpg,,900000,,4.615384615384615,39,[],"[4402, 4518]",1665171957,16
Điện thoại Nokia C30 (2GB/32BG) - Mới nguyên seal - Hàng chính hãng,,https://vn-live-01.slatic.net/p/96b89f42c3901bde793ac7d84dd690d2.png,2690000,1549000,42% Off,4.764705882352941,34,[],"[4402, 4518]",1729611769,16
Điện Thoại Infinix Hot 20 Play 4GB/128GB - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/70b18fde8a6e755673ffb16f291ea987.jpg_1500x1500q80.jpg,3190000,2890000,9% Off,5.0,16,[],"[4402, 4518]",2333339560,16
Điện thoại cổ nokia x2 00 giá rẻ  vỏ kim loại tặng sim 4g,,https://vn-live-01.slatic.net/p/ad18e490a33cdf1fadd4bd81ddffc5d7.jpg,445000,299000,33% Off,4.545454545454546,11,[],"[4402, 4518]",304920536,16
Điện thoại Realme C55 (6GB/128GB) - Hàng nhập khẩu - Mới nguyên seal,,https://vn-live-01.slatic.net/p/b72887ef3173a60684167307f45fedfe.jpg,4990000,3499000,30% Off,5.0,5,[],"[4402, 4518]",2234015834,16
[CHỈ 11.11 - VOUCHER 1.1TR] Điện thoại Samsung Galaxy A34 5g (8GB/128GB),,https://vn-live-01.slatic.net/p/8ec24780120fa1aa07923433cb49c007.jpg,,8490000,,4.87958115183246,191,[],"[4402, 4518]",2207531340,16
"điện thoại Oppo A3s 2sim ram 6G/128G máy Chính Hãng, Cấu hình Chip Cao mạnh mẽ Cày Liên Quân- PUBG-Free Fire-Tiktok siêu mượt - TTN 01",,https://vn-live-01.slatic.net/p/de6a60e4cef1628179b2cf694896ca16.jpg,777000,322806,58% Off,4.796178343949045,157,[],"[4402, 4518]",2160296366,16
"Realme 5 Pro - điện thoại Realme 5 Pro 2sim ram 8G/256G máy Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",,https://vn-live-01.slatic.net/p/c94f83eaa7155737dfab68c28fae2c01.jpg,1788000,999000,44% Off,4.918367346938775,48,[],"[4402, 4518]",2317032116,16
SAMSUNG A51  6G/128G GIÁ MỀM -SIÊU ĐẸP CHƠI GAME LƯỚT MẠNG BAO MƯỢT.,,https://ph-live-01.slatic.net/p/c2d4ed5ec7d27bbcd0bc37b4a85dcbe5.jpg,,1750000,,5.0,6,[],"[4402, 4518]",2164123577,16
Điện Thoại Samsung Galaxy A54 5G 256GB,,https://vn-live-01.slatic.net/p/538436265e92db77c651360b88a1e972.jpg,11490000,7990000,30% Off,0,,[],"[4402, 4518]",2492495648,16
điện thoại oppo neo 9 máy cũ 16G giá máy không phụ kiện,,https://filebroker-cdn.lazada.vn/kf/S02c061c6f3974b2db9276303762f502de.jpg,,425000,,4.857142857142857,7,[],"[4402, 4518]",1933328362,16
Điện thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng chính hãng - Màn hình 6.5inch AMOLED FHD+ bộ 3 Camera sau Pin 4500mAh,,https://vn-live-01.slatic.net/p/a55b1a242051339d614d1ed839988c5b.jpg,13490000,7459000,45% Off,5.0,3,[],"[4402, 4518]",1300147087,16
